Currency,Date,USD_per_unit
USD,2025-04-01,1.0
EUR,2025-04-02,1.0845
GBP,2025-04-02,1.2837
ILS,2025-04-02,0.2757
USD,2025-04-02,1.0
EUR,2025-04-03,1.0841
GBP,2025-04-03,1.287
ILS,2025-04-03,0.2757
USD,2025-04-03,1.0
EUR,2025-04-04,1.0774
GBP,2025-04-04,1.2857
ILS,2025-04-04,0.2731
USD,2025-04-04,1.0
EUR,2025-04-05,1.0762
GBP,2025-04-05,1.2855
ILS,2025-04-05,0.2685
USD,2025-04-05,1.0
EUR,2025-04-06,1.0774
GBP,2025-04-06,1.2845
ILS,2025-04-06,0.2717
USD,2025-04-06,1.0
EUR,2025-04-07,1.0786
GBP,2025-04-07,1.2855
ILS,2025-04-07,0.2733
USD,2025-04-07,1.0
EUR,2025-04-08,1.0842
GBP,2025-04-08,1.2815
ILS,2025-04-08,0.2676
USD,2025-04-08,1.0
EUR,2025-04-09,1.0745
GBP,2025-04-09,1.2821
ILS,2025-04-09,0.2696
USD,2025-04-09,1.0
EUR,2025-04-10,1.0758
GBP,2025-04-10,1.2769
ILS,2025-04-10,0.2686
USD,2025-04-10,1.0
EUR,2025-04-11,1.0805
GBP,2025-04-11,1.2878
ILS,2025-04-11,0.2677
USD,2025-04-11,1.0
EUR,2025-04-12,1.0774
GBP,2025-04-12,1.2782
ILS,2025-04-12,0.2686
USD,2025-04-12,1.0
EUR,2025-04-13,1.0751
GBP,2025-04-13,1.2868
ILS,2025-04-13,0.2628
USD,2025-04-13,1.0
EUR,2025-04-14,1.0775
GBP,2025-04-14,1.2847
ILS,2025-04-14,0.268
USD,2025-04-14,1.0
EUR,2025-04-15,1.0926
GBP,2025-04-15,1.2845
ILS,2025-04-15,0.2639
USD,2025-04-15,1.0
EUR,2025-04-16,1.0786
GBP,2025-04-16,1.2712
ILS,2025-04-16,0.266
USD,2025-04-16,1.0
EUR,2025-04-17,1.0747
GBP,2025-04-17,1.2868
ILS,2025-04-17,0.264
USD,2025-04-17,1.0
EUR,2025-04-18,1.0782
GBP,2025-04-18,1.277
ILS,2025-04-18,0.2702
USD,2025-04-18,1.0
EUR,2025-04-19,1.077
GBP,2025-04-19,1.2913
ILS,2025-04-19,0.2669
USD,2025-04-19,1.0
EUR,2025-04-20,1.0809
GBP,2025-04-20,1.2819
ILS,2025-04-20,0.265
USD,2025-04-20,1.0
EUR,2025-04-21,1.0686
GBP,2025-04-21,1.2775
ILS,2025-04-21,0.2658
USD,2025-04-21,1.0
EUR,2025-04-22,1.0779
GBP,2025-04-22,1.2701
ILS,2025-04-22,0.2625
USD,2025-04-22,1.0
EUR,2025-04-23,1.0864
GBP,2025-04-23,1.2855
ILS,2025-04-23,0.2619
USD,2025-04-23,1.0
EUR,2025-04-24,1.0825
GBP,2025-04-24,1.2752
ILS,2025-04-24,0.2564
USD,2025-04-24,1.0
EUR,2025-04-25,1.0729
GBP,2025-04-25,1.2861
ILS,2025-04-25,0.2601
USD,2025-04-25,1.0
EUR,2025-04-26,1.0761
GBP,2025-04-26,1.2743
ILS,2025-04-26,0.2661
USD,2025-04-26,1.0
EUR,2025-04-27,1.0852
GBP,2025-04-27,1.2888
ILS,2025-04-27,0.2593
USD,2025-04-27,1.0
EUR,2025-04-28,1.0784
GBP,2025-04-28,1.2657
ILS,2025-04-28,0.2637
USD,2025-04-28,1.0
EUR,2025-04-29,1.0708
GBP,2025-04-29,1.2755
ILS,2025-04-29,0.2555
USD,2025-04-29,1.0
EUR,2025-04-30,1.0735
GBP,2025-04-30,1.2685
ILS,2025-04-30,0.2564
USD,2025-04-30,1.0
EUR,2025-05-01,1.0735
GBP,2025-05-01,1.2695
ILS,2025-05-01,0.2602
USD,2025-05-01,1.0
EUR,2025-05-02,1.0704
GBP,2025-05-02,1.2735
ILS,2025-05-02,0.2609
USD,2025-05-02,1.0
EUR,2025-05-03,1.0731
GBP,2025-05-03,1.2671
ILS,2025-05-03,0.2561
USD,2025-05-03,1.0
EUR,2025-05-04,1.0813
GBP,2025-05-04,1.2719
ILS,2025-05-04,0.2547
USD,2025-05-04,1.0
EUR,2025-05-05,1.0775
GBP,2025-05-05,1.2634
ILS,2025-05-05,0.2579
USD,2025-05-05,1.0
EUR,2025-05-06,1.0768
GBP,2025-05-06,1.2674
ILS,2025-05-06,0.2529
USD,2025-05-06,1.0
EUR,2025-05-07,1.0701
GBP,2025-05-07,1.2717
ILS,2025-05-07,0.2587
USD,2025-05-07,1.0
EUR,2025-05-08,1.071
GBP,2025-05-08,1.2705
ILS,2025-05-08,0.2483
USD,2025-05-08,1.0
EUR,2025-05-09,1.071
GBP,2025-05-09,1.2668
ILS,2025-05-09,0.2515
USD,2025-05-09,1.0
EUR,2025-05-10,1.0689
GBP,2025-05-10,1.2623
ILS,2025-05-10,0.2547
USD,2025-05-10,1.0
EUR,2025-05-11,1.0723
GBP,2025-05-11,1.2521
ILS,2025-05-11,0.2471
USD,2025-05-11,1.0
EUR,2025-05-12,1.0699
GBP,2025-05-12,1.2675
ILS,2025-05-12,0.2449
USD,2025-05-12,1.0
EUR,2025-05-13,1.0701
GBP,2025-05-13,1.2608
ILS,2025-05-13,0.257
USD,2025-05-13,1.0
EUR,2025-05-14,1.0703
GBP,2025-05-14,1.2655
ILS,2025-05-14,0.2529
USD,2025-05-14,1.0
EUR,2025-05-15,1.0612
GBP,2025-05-15,1.267
ILS,2025-05-15,0.2528
USD,2025-05-15,1.0
EUR,2025-05-16,1.0741
GBP,2025-05-16,1.2851
ILS,2025-05-16,0.2457
USD,2025-05-16,1.0
EUR,2025-05-17,1.0798
GBP,2025-05-17,1.259
ILS,2025-05-17,0.2525
USD,2025-05-17,1.0
EUR,2025-05-18,1.0706
GBP,2025-05-18,1.2574
ILS,2025-05-18,0.2497
USD,2025-05-18,1.0
EUR,2025-05-19,1.0721
GBP,2025-05-19,1.25
ILS,2025-05-19,0.2534
USD,2025-05-19,1.0
EUR,2025-05-20,1.068
GBP,2025-05-20,1.2515
ILS,2025-05-20,0.2496
USD,2025-05-20,1.0
EUR,2025-05-21,1.0759
GBP,2025-05-21,1.2543
ILS,2025-05-21,0.2519
USD,2025-05-21,1.0
EUR,2025-05-22,1.0656
GBP,2025-05-22,1.2612
ILS,2025-05-22,0.2527
USD,2025-05-22,1.0
EUR,2025-05-23,1.0781
GBP,2025-05-23,1.2548
ILS,2025-05-23,0.2525
USD,2025-05-23,1.0
EUR,2025-05-24,1.0689
GBP,2025-05-24,1.2628
ILS,2025-05-24,0.2482
USD,2025-05-24,1.0
EUR,2025-05-25,1.0718
GBP,2025-05-25,1.253
ILS,2025-05-25,0.2501
USD,2025-05-25,1.0
EUR,2025-05-26,1.0681
GBP,2025-05-26,1.2549
ILS,2025-05-26,0.2498
USD,2025-05-26,1.0
EUR,2025-05-27,1.0683
GBP,2025-05-27,1.262
ILS,2025-05-27,0.253
USD,2025-05-27,1.0
EUR,2025-05-28,1.0711
GBP,2025-05-28,1.2489
ILS,2025-05-28,0.2474
USD,2025-05-28,1.0
EUR,2025-05-29,1.0711
GBP,2025-05-29,1.2561
ILS,2025-05-29,0.2544
USD,2025-05-29,1.0
EUR,2025-05-30,1.0629
GBP,2025-05-30,1.2486
ILS,2025-05-30,0.2451
USD,2025-05-30,1.0
EUR,2025-05-31,1.0635
GBP,2025-05-31,1.2551
ILS,2025-05-31,0.2486
USD,2025-05-31,1.0
EUR,2025-06-01,1.0682
GBP,2025-06-01,1.2472
ILS,2025-06-01,0.251
USD,2025-06-01,1.0
EUR,2025-06-02,1.0588
GBP,2025-06-02,1.248
ILS,2025-06-02,0.2411
USD,2025-06-02,1.0
EUR,2025-06-03,1.0632
GBP,2025-06-03,1.2369
ILS,2025-06-03,0.2538
USD,2025-06-03,1.0
EUR,2025-06-04,1.0676
GBP,2025-06-04,1.2486
ILS,2025-06-04,0.2548
USD,2025-06-04,1.0
EUR,2025-06-05,1.0585
GBP,2025-06-05,1.2555
ILS,2025-06-05,0.2532
USD,2025-06-05,1.0
EUR,2025-06-06,1.0616
GBP,2025-06-06,1.251
ILS,2025-06-06,0.2472
USD,2025-06-06,1.0
EUR,2025-06-07,1.0582
GBP,2025-06-07,1.2397
ILS,2025-06-07,0.249
USD,2025-06-07,1.0
EUR,2025-06-08,1.0565
GBP,2025-06-08,1.2498
ILS,2025-06-08,0.25
USD,2025-06-08,1.0
EUR,2025-06-09,1.0631
GBP,2025-06-09,1.2383
ILS,2025-06-09,0.2455
USD,2025-06-09,1.0
EUR,2025-06-10,1.0622
GBP,2025-06-10,1.2294
ILS,2025-06-10,0.251
USD,2025-06-10,1.0
EUR,2025-06-11,1.0535
GBP,2025-06-11,1.252
ILS,2025-06-11,0.2541
USD,2025-06-11,1.0
EUR,2025-06-12,1.0604
GBP,2025-06-12,1.2468
ILS,2025-06-12,0.2491
USD,2025-06-12,1.0
EUR,2025-06-13,1.0621
GBP,2025-06-13,1.2396
ILS,2025-06-13,0.2527
USD,2025-06-13,1.0
EUR,2025-06-14,1.0653
GBP,2025-06-14,1.242
ILS,2025-06-14,0.253
USD,2025-06-14,1.0
EUR,2025-06-15,1.0501
GBP,2025-06-15,1.2311
ILS,2025-06-15,0.2521
USD,2025-06-15,1.0
EUR,2025-06-16,1.0584
GBP,2025-06-16,1.2293
ILS,2025-06-16,0.26
USD,2025-06-16,1.0
EUR,2025-06-17,1.065
GBP,2025-06-17,1.2389
ILS,2025-06-17,0.2533
USD,2025-06-17,1.0
EUR,2025-06-18,1.0558
GBP,2025-06-18,1.2288
ILS,2025-06-18,0.2537
USD,2025-06-18,1.0
EUR,2025-06-19,1.0577
GBP,2025-06-19,1.2263
ILS,2025-06-19,0.2548
USD,2025-06-19,1.0
EUR,2025-06-20,1.0551
GBP,2025-06-20,1.2215
ILS,2025-06-20,0.2516
USD,2025-06-20,1.0
EUR,2025-06-21,1.0533
GBP,2025-06-21,1.2435
ILS,2025-06-21,0.2563
USD,2025-06-21,1.0
EUR,2025-06-22,1.0482
GBP,2025-06-22,1.2344
ILS,2025-06-22,0.2504
USD,2025-06-22,1.0
EUR,2025-06-23,1.0598
GBP,2025-06-23,1.2279
ILS,2025-06-23,0.2551
USD,2025-06-23,1.0
EUR,2025-06-24,1.0605
GBP,2025-06-24,1.2223
ILS,2025-06-24,0.2517
USD,2025-06-24,1.0
EUR,2025-06-25,1.0504
GBP,2025-06-25,1.2355
ILS,2025-06-25,0.2518
USD,2025-06-25,1.0
EUR,2025-06-26,1.0387
GBP,2025-06-26,1.2259
ILS,2025-06-26,0.2584
USD,2025-06-26,1.0
EUR,2025-06-27,1.0583
GBP,2025-06-27,1.2251
ILS,2025-06-27,0.256
USD,2025-06-27,1.0
EUR,2025-06-28,1.0576
GBP,2025-06-28,1.216
ILS,2025-06-28,0.2566
USD,2025-06-28,1.0
EUR,2025-06-29,1.0522
GBP,2025-06-29,1.2292
ILS,2025-06-29,0.2567
USD,2025-06-29,1.0
EUR,2025-06-30,1.0509
GBP,2025-06-30,1.2109
ILS,2025-06-30,0.2568
USD,2025-06-30,1.0
EUR,2025-07-01,1.0525
GBP,2025-07-01,1.2193
ILS,2025-07-01,0.2595
USD,2025-07-01,1.0
EUR,2025-07-02,1.052
GBP,2025-07-02,1.2224
ILS,2025-07-02,0.2603
USD,2025-07-02,1.0
EUR,2025-07-03,1.0444
GBP,2025-07-03,1.2226
ILS,2025-07-03,0.2622
USD,2025-07-03,1.0
EUR,2025-07-04,1.0495
GBP,2025-07-04,1.2197
ILS,2025-07-04,0.2616
USD,2025-07-04,1.0
EUR,2025-07-05,1.0518
GBP,2025-07-05,1.2103
ILS,2025-07-05,0.265
USD,2025-07-05,1.0
EUR,2025-07-06,1.046
GBP,2025-07-06,1.2246
ILS,2025-07-06,0.2656
USD,2025-07-06,1.0
EUR,2025-07-07,1.0403
GBP,2025-07-07,1.2172
ILS,2025-07-07,0.2618
USD,2025-07-07,1.0
EUR,2025-07-08,1.0427
GBP,2025-07-08,1.2313
ILS,2025-07-08,0.2607
USD,2025-07-08,1.0
EUR,2025-07-09,1.0434
GBP,2025-07-09,1.2215
ILS,2025-07-09,0.2602
USD,2025-07-09,1.0
EUR,2025-07-10,1.0436
GBP,2025-07-10,1.2216
ILS,2025-07-10,0.2634
USD,2025-07-10,1.0
EUR,2025-07-11,1.0446
GBP,2025-07-11,1.216
ILS,2025-07-11,0.2605
USD,2025-07-11,1.0
EUR,2025-07-12,1.0462
GBP,2025-07-12,1.2292
ILS,2025-07-12,0.2657
USD,2025-07-12,1.0
EUR,2025-07-13,1.0452
GBP,2025-07-13,1.2223
ILS,2025-07-13,0.2624
USD,2025-07-13,1.0
EUR,2025-07-14,1.0521
GBP,2025-07-14,1.2189
ILS,2025-07-14,0.2718
USD,2025-07-14,1.0
EUR,2025-07-15,1.0394
GBP,2025-07-15,1.2281
ILS,2025-07-15,0.2698
USD,2025-07-15,1.0
EUR,2025-07-16,1.0454
GBP,2025-07-16,1.2181
ILS,2025-07-16,0.2674
USD,2025-07-16,1.0
EUR,2025-07-17,1.0481
GBP,2025-07-17,1.2171
ILS,2025-07-17,0.2628
USD,2025-07-17,1.0
EUR,2025-07-18,1.036
GBP,2025-07-18,1.2147
ILS,2025-07-18,0.2703
USD,2025-07-18,1.0
EUR,2025-07-19,1.0408
GBP,2025-07-19,1.2227
ILS,2025-07-19,0.2641
USD,2025-07-19,1.0
EUR,2025-07-20,1.0413
GBP,2025-07-20,1.204
ILS,2025-07-20,0.2729
USD,2025-07-20,1.0
EUR,2025-07-21,1.0396
GBP,2025-07-21,1.2171
ILS,2025-07-21,0.2687
USD,2025-07-21,1.0
EUR,2025-07-22,1.046
GBP,2025-07-22,1.2204
ILS,2025-07-22,0.2736
USD,2025-07-22,1.0
EUR,2025-07-23,1.0385
GBP,2025-07-23,1.2173
ILS,2025-07-23,0.2704
USD,2025-07-23,1.0
EUR,2025-07-24,1.0429
GBP,2025-07-24,1.2234
ILS,2025-07-24,0.2763
USD,2025-07-24,1.0
EUR,2025-07-25,1.0345
GBP,2025-07-25,1.2153
ILS,2025-07-25,0.2699
USD,2025-07-25,1.0
EUR,2025-07-26,1.0406
GBP,2025-07-26,1.2155
ILS,2025-07-26,0.2688
USD,2025-07-26,1.0
EUR,2025-07-27,1.0314
GBP,2025-07-27,1.2108
ILS,2025-07-27,0.2741
USD,2025-07-27,1.0
EUR,2025-07-28,1.0307
GBP,2025-07-28,1.2146
ILS,2025-07-28,0.2763
USD,2025-07-28,1.0
EUR,2025-07-29,1.0354
GBP,2025-07-29,1.2074
ILS,2025-07-29,0.2793
USD,2025-07-29,1.0
EUR,2025-07-30,1.0441
GBP,2025-07-30,1.2088
ILS,2025-07-30,0.2749
USD,2025-07-30,1.0
EUR,2025-07-31,1.0379
GBP,2025-07-31,1.2093
ILS,2025-07-31,0.2769
USD,2025-07-31,1.0
EUR,2025-08-01,1.0387
GBP,2025-08-01,1.1998
ILS,2025-08-01,0.2819
USD,2025-08-01,1.0
EUR,2025-08-02,1.0349
GBP,2025-08-02,1.2086
ILS,2025-08-02,0.2782
USD,2025-08-02,1.0
EUR,2025-08-03,1.0339
GBP,2025-08-03,1.2005
ILS,2025-08-03,0.2836
USD,2025-08-03,1.0
EUR,2025-08-04,1.0338
GBP,2025-08-04,1.2134
ILS,2025-08-04,0.2825
USD,2025-08-04,1.0
EUR,2025-08-05,1.0281
GBP,2025-08-05,1.2134
ILS,2025-08-05,0.2794
USD,2025-08-05,1.0
EUR,2025-08-06,1.037
GBP,2025-08-06,1.1977
ILS,2025-08-06,0.2804
USD,2025-08-06,1.0
EUR,2025-08-07,1.0294
GBP,2025-08-07,1.2129
ILS,2025-08-07,0.2827
USD,2025-08-07,1.0
EUR,2025-08-08,1.0284
GBP,2025-08-08,1.2059
ILS,2025-08-08,0.2814
USD,2025-08-08,1.0
EUR,2025-08-09,1.0271
GBP,2025-08-09,1.2152
ILS,2025-08-09,0.2812
USD,2025-08-09,1.0
EUR,2025-08-10,1.0166
GBP,2025-08-10,1.2078
ILS,2025-08-10,0.2796
USD,2025-08-10,1.0
EUR,2025-08-11,1.0226
GBP,2025-08-11,1.2026
ILS,2025-08-11,0.2836
USD,2025-08-11,1.0
EUR,2025-08-12,1.037
GBP,2025-08-12,1.2119
ILS,2025-08-12,0.2819
USD,2025-08-12,1.0
EUR,2025-08-13,1.0322
GBP,2025-08-13,1.2072
ILS,2025-08-13,0.2821
USD,2025-08-13,1.0
EUR,2025-08-14,1.0238
GBP,2025-08-14,1.1995
ILS,2025-08-14,0.2834
USD,2025-08-14,1.0
EUR,2025-08-15,1.03
GBP,2025-08-15,1.2095
ILS,2025-08-15,0.2838
USD,2025-08-15,1.0
EUR,2025-08-16,1.0241
GBP,2025-08-16,1.2137
ILS,2025-08-16,0.2815
USD,2025-08-16,1.0
EUR,2025-08-17,1.0323
GBP,2025-08-17,1.2041
ILS,2025-08-17,0.2835
USD,2025-08-17,1.0
EUR,2025-08-18,1.0208
GBP,2025-08-18,1.2072
ILS,2025-08-18,0.2891
USD,2025-08-18,1.0
EUR,2025-08-19,1.0303
GBP,2025-08-19,1.2162
ILS,2025-08-19,0.2881
USD,2025-08-19,1.0
EUR,2025-08-20,1.0219
GBP,2025-08-20,1.2084
ILS,2025-08-20,0.2845
USD,2025-08-20,1.0
EUR,2025-08-21,1.0337
GBP,2025-08-21,1.2034
ILS,2025-08-21,0.2899
USD,2025-08-21,1.0
EUR,2025-08-22,1.0312
GBP,2025-08-22,1.2217
ILS,2025-08-22,0.2863
USD,2025-08-22,1.0
EUR,2025-08-23,1.03
GBP,2025-08-23,1.2246
ILS,2025-08-23,0.286
USD,2025-08-23,1.0
EUR,2025-08-24,1.0184
GBP,2025-08-24,1.1998
ILS,2025-08-24,0.2902
USD,2025-08-24,1.0
EUR,2025-08-25,1.0164
GBP,2025-08-25,1.209
ILS,2025-08-25,0.2897
USD,2025-08-25,1.0
EUR,2025-08-26,1.0264
GBP,2025-08-26,1.214
ILS,2025-08-26,0.2893
USD,2025-08-26,1.0
EUR,2025-08-27,1.0316
GBP,2025-08-27,1.206
ILS,2025-08-27,0.2868
USD,2025-08-27,1.0
EUR,2025-08-28,1.0211
GBP,2025-08-28,1.2169
ILS,2025-08-28,0.2917
USD,2025-08-28,1.0
EUR,2025-08-29,1.0269
GBP,2025-08-29,1.2193
ILS,2025-08-29,0.2857
USD,2025-08-29,1.0
EUR,2025-08-30,1.0327
GBP,2025-08-30,1.2216
ILS,2025-08-30,0.2916
USD,2025-08-30,1.0
EUR,2025-08-31,1.033
GBP,2025-08-31,1.2029
ILS,2025-08-31,0.2879
USD,2025-08-31,1.0
EUR,2025-09-01,1.0202
GBP,2025-09-01,1.2175
ILS,2025-09-01,0.2865
USD,2025-09-01,1.0
