Customer_ID,tradeDate,ticker,Side,Quantity,Px,TradeCurrency,FeeUSD
C100890,2025-07-10,KDIJV,SELL,-373,202.68,USD,8.6
C100482,2025-06-10,HYRF,SELL,-221,304.32,ILS,
C100148,2025-07-02,WTAOP,SELL,-180,147.2,ILS,
C100382,2025-07-04,AJLY,SELL,-491,51.61,GBP,
C100998,2025-07-30,RFF,BUY,193,133.3,EUR,
C100032,2025-07-21,KREEP,BUY,228,290.83,EUR,
C100113,2025-08-21,KBJZN,SELL,-480,382.5,ILS,
C100175,2025-07-10,RKVOC,SELL,-476,202.89,GBP,
C100618,2025-07-11,PSBT,BUY,105,214.57,USD,4.56
C100421,2025-07-09,RRJ,SELL,-75,77.38,ILS,
C100857,2025-06-03,KEJT,SELL,-196,86.32,ILS,
C100753,2025-07-15,auitq,BUY,218,367.22,GBP,
C100444,2025-06-27,ETWH,BUY,348,319.76,USD,4.16
C100427,2025-06-09,BTSV,BUY,125,61.9,ILS,
C100751,2025-08-15,KVK,BUY,250,249.25,ILS,
C100490,2025-08-20,ISI,BUY,113,337.03,ILS,
C100246,2025-08-13,WOO,BUY,181,318.57,EUR,
C100135,2025-07-14,KOG,SELL,-259,254.51,USD,6.25
C100016,2025-06-30,ZGJ,SELL,-302,97.47,ILS,
C100878,2025-08-21,HLSEL,BUY,136,135.39,ILS,
C100790,2025-07-03,VUFA,SELL,-303,292.87,GBP,
C100641,2025-06-13,IDX,BUY,153,84.77,ILS,
C100914,2025-06-06,GGOC,SELL,-248,259.77,GBP,
C100436,2025-07-08,VHFUP,SELL,-135,200.7,USD,5.77
C100635,2025-06-11,WEG,SELL,-123,267.08,GBP,
C100909,2025-08-08,GBP,BUY,175,146.95,GBP,
C100476,2025-08-05,TPAF,BUY,141,325.52,GBP,
C100179,2025-07-08,FZETA,BUY,21,85.09,EUR,
C100342,2025-08-26,IIZ,BUY,107,118.21,EUR,
C100771,2025-07-29,REWAF,BUY,418,276.53,GBP,
C100919,2025-07-21,DGFQX,SELL,-271,141.59,USD,5.51
C100064,2025-08-20,RXQH,SELL,-339,93.8,ILS,
C100513,2025-08-25,SPZRA,BUY,264,369.65,GBP,
C100462,2025-06-12,TIBOV,SELL,-139,279.19,EUR,
C100913,2025-06-17,REZ,SELL,-332,215.37,USD,3.42
C100400,2025-07-22,VYUH,BUY,484,245.72,USD,5.07
C100111,2025-06-20,UIKD,SELL,-90,207.61,EUR,
C100508,2025-06-04,PZVHJ,BUY,283,125.94,GBP,
C100426,2025-08-25,OBNT,BUY,358,336.18,GBP,
C100430,2025-07-23,NWWHU,BUY,469,194.85,EUR,
C100064,2025-07-30,AITDJ,BUY,397,229.38,ILS,
C100592,2025-08-27,BIBMX,SELL,-159,68.53,ILS,
C100468,2025-07-25,HZOM,BUY,413,50.05,EUR,
C100808,2025-08-26,IULZ,BUY,25,144.13,GBP,
C100994,2025-06-26,ETUOT,BUY,284,357.11,GBP,
C100291,2025-06-30,TNT,BUY,326,325.29,GBP,
C100186,2025-06-27,KOKF,BUY,126,354.34,EUR,
C100243,2025-07-28,HPZMD,BUY,128,157.98,EUR,
C100451,2025-07-03,IULZ,SELL,-325,249.95,EUR,
C100575,2025-07-28,VTRPU,BUY,301,232.25,GBP,
C100151,2025-06-30,RXQH,SELL,-179,82.83,GBP,
C100124,2025-08-12,OMWIY,BUY,417,233.43,ILS,
C100786,2025-07-28,RJK,SELL,-406,169.8,EUR,
C100004,2025-07-23,OBNT,SELL,-248,369.65,ILS,
C100917,2025-08-19,LEE,BUY,453,167.32,GBP,
C100705,2025-06-09,SEHZP,SELL,-216,24.0,EUR,
C100694,2025-07-25,NFOR,BUY,355,66.87,USD,8.02
C100411,2025-08-20,TPAF,BUY,156,14.71,GBP,
C100094,2025-07-04,fblso,BUY,294,99.25,EUR,
C100800,2025-07-07,OML,SELL,-293,22.28,USD,6.68
C100085,2025-06-17,VRZ,SELL,-372,216.47,ILS,
C100199,2025-09-01,AKOAQ,SELL,-272,314.21,USD,3.4
C100930,2025-08-11,YTR,SELL,-441,253.98,EUR,
C100733,2025-08-06,IRKXL,SELL,-275,215.93,ILS,
C100381,2025-08-01,CSEG,SELL,-36,259.5,GBP,
C100315,2025-06-17,VQPD,SELL,-290,309.3,EUR,
C100745,2025-08-14,ESQ,SELL,-423,294.04,ILS,
C100295,2025-08-14,RONV,SELL,-88,64.46,EUR,
C100855,2025-06-26,IYBWC,BUY,297,39.96,EUR,
C100310,2025-06-12,SFQ,SELL,-33,98.73,ILS,
C100090,2025-07-18,POSSK,SELL,-248,344.67,ILS,
C100179,2025-06-25,CWPU,SELL,-278,118.2,EUR,
C100190,2025-07-23,JDBYO,SELL,-2,236.97,ILS,
C100043,2025-07-24,QSC,SELL,-17,21.33,ILS,
C100572,2025-07-10,EMF,SELL,-131,336.7,USD,2.95
C100810,2025-07-17,CWWFV,BUY,130,354.39,GBP,
C100978,2025-06-23,OTEN,SELL,-280,196.2,GBP,
C100427,2025-07-15,RTYK,SELL,-357,164.54,USD,8.0
C100122,2025-08-28,FUBQ,SELL,-34,8.0,USD,3.32
C100613,2025-08-26,REWAF,SELL,-331,259.77,ILS,
C100889,2025-06-23,THP,SELL,-185,243.0,GBP,
C100524,2025-07-17,XEPQ,BUY,492,366.2,EUR,
C100595,2025-07-28,CES,BUY,135,176.33,ILS,
C100899,2025-08-04,KREEP,BUY,110,119.07,EUR,
C100054,2025-08-14,DZI,SELL,-274,182.95,GBP,
C100049,2025-06-13,LEE,SELL,-309,33.16,EUR,
C100784,2025-06-18,ZMKI,BUY,395,13.34,EUR,
C100556,2025-07-24,OYIT,SELL,-96,212.09,GBP,
C100701,2025-06-18,BUJ,SELL,-55,274.04,GBP,
C100843,2025-06-25,PVAU,BUY,281,87.41,GBP,
C100381,2025-08-13,ltgw,SELL,-205,107.97,GBP,
C100943,2025-06-19,ZHSM,BUY,455,199.36,EUR,
C100158,2025-07-04,IQUI,BUY,158,177.28,USD,4.78
C100427,2025-06-20,LSCOB,BUY,289,108.37,EUR,
C100945,2025-08-01,RKTA,SELL,-31,336.89,GBP,
C100707,2025-08-19,BWJZ,BUY,371,27.19,GBP,
C100176,2025-06-05,DYD,SELL,-56,382.58,USD,1.76
C100227,2025-07-11,AWBKJ,BUY,54,377.82,GBP,
C100128,2025-06-16,ENGF,BUY,344,108.01,ILS,
C100707,2025-06-13,PQK,BUY,261,65.03,USD,7.38
C100793,2025-06-09,MQH,SELL,-387,197.91,EUR,
C100110,2025-08-25,IUGA,BUY,480,230.34,USD,5.04
C100930,2025-06-12,JRZ,BUY,54,293.22,GBP,
C100683,2025-06-23,ZTSC,BUY,237,311.47,EUR,
C100601,2025-07-03,MJYL,BUY,346,139.04,GBP,
C100029,2025-07-21,IFZBF,BUY,91,96.16,GBP,
C100360,2025-08-29,YHSK,BUY,228,146.55,USD,6.96
C100101,2025-07-09,ZHZR,BUY,278,236.75,EUR,
C100987,2025-06-02,RFC,BUY,149,98.76,USD,2.63
C100946,2025-08-05,QGXD,SELL,-53,376.09,EUR,
C100450,2025-07-03,YCYR,BUY,269,15.69,GBP,
C100388,2025-09-01,BWBA,BUY,1,141.65,EUR,
C100417,2025-06-23,SEHZP,SELL,-187,118.82,ILS,
C100112,2025-08-28,BQQBS,BUY,461,347.03,GBP,
C100721,2025-06-16,ETUOT,BUY,254,145.03,GBP,
C100505,2025-07-22,HPZMD,SELL,-205,216.23,ILS,
C100614,2025-08-19,BADQB,SELL,-402,116.48,EUR,
C100567,2025-08-15,AJDX,SELL,-462,136.46,EUR,
C100877,2025-08-06,JHDE,SELL,-309,260.27,EUR,
C100013,2025-06-19,QXMO,SELL,-453,336.19,ILS,
C100448,2025-06-23,LRJLC,BUY,123,146.8,EUR,
C100404,2025-07-01,EYU,BUY,177,161.96,USD,4.98
C100372,2025-07-31,TMP,BUY,378,71.57,EUR,
C100609,2025-06-23,LVV,SELL,-331,269.72,EUR,
C100858,2025-07-21,BWBA,SELL,-313,282.86,GBP,
C100774,2025-08-04,EZEH,SELL,-30,196.04,ILS,
C100682,2025-08-27,VQPD,SELL,-432,34.41,GBP,
C100150,2025-06-19,KVK,SELL,-36,395.25,USD,1.57
C100256,2025-07-11,NEJHK,SELL,-61,92.79,EUR,
C100030,2025-06-12,JURY,BUY,497,341.22,ILS,
C100694,2025-08-07,BTSV,BUY,447,37.98,GBP,
C100156,2025-06-13,HZOM,BUY,406,95.68,ILS,
C100811,2025-07-23,QYXRA,BUY,243,78.3,ILS,
C100502,2025-07-31,QEZLX,SELL,-155,302.21,USD,5.22
C100975,2025-08-18,FUBQ,BUY,310,9.82,USD,6.57
C100392,2025-08-07,PFCH,SELL,-351,119.07,ILS,
C100470,2025-07-02,DMBKK,BUY,127,194.32,GBP,
C100905,2025-08-27,AJOLB,BUY,415,112.41,ILS,
C100137,2025-08-27,HZRHO,SELL,-181,29.03,USD,3.14
C100582,2025-08-25,QXMO,SELL,-265,78.8,ILS,
C100575,2025-08-29,IRKXL,BUY,297,27.05,USD,3.13
C100400,2025-08-07,SXRVQ,SELL,-27,307.03,GBP,
C100784,2025-07-29,VQPD,SELL,-363,70.45,USD,5.02
C100028,2025-06-24,JYUH,BUY,6,133.17,GBP,
C100357,2025-07-31,ISI,BUY,159,132.07,ILS,
C100099,2025-08-04,USVXZ,SELL,-479,269.47,ILS,
C100359,2025-07-15,XYKK,BUY,180,198.45,EUR,
C100663,2025-06-12,HZRHO,BUY,159,356.82,GBP,
C100117,2025-06-04,IMG,BUY,295,270.36,GBP,
C100038,2025-09-01,LSCOB,SELL,-288,68.88,ILS,
C100273,2025-06-04,OOCZ,SELL,-359,350.97,GBP,
C100386,2025-07-29,HLSEL,SELL,-247,350.24,USD,6.53
C100827,2025-07-08,NEJHK,BUY,458,207.23,GBP,
C100508,2025-07-01,IQUI,SELL,-481,220.37,GBP,
C100372,2025-07-07,OBNT,SELL,-277,375.73,ILS,
C100650,2025-07-09,GSHRU,BUY,327,379.79,GBP,
C100271,2025-08-12,ELSO,SELL,-398,341.17,EUR,
C100639,2025-06-18,NGXB,BUY,152,115.02,GBP,
C100279,2025-08-15,BMNSU,SELL,-235,233.01,EUR,
C100355,2025-07-24,HRM,BUY,225,296.41,GBP,
C100443,2025-07-07,QVBU,SELL,-396,122.77,ILS,
C100411,2025-07-03,PVRH,SELL,-248,398.64,USD,4.11
C100642,2025-08-28,WLW,BUY,109,237.42,EUR,
C100676,2025-07-18,MOSWO,SELL,-293,244.4,ILS,
C100957,2025-07-07,ZUUP,BUY,97,361.08,GBP,
C100473,2025-06-27,BLHH,BUY,145,56.08,GBP,
C100864,2025-07-28,FLAI,SELL,-487,162.41,USD,7.31
C100649,2025-07-18,YIJUV,SELL,-148,204.76,GBP,
C100661,2025-07-14,YHSK,SELL,-431,303.16,ILS,
C100244,2025-07-04,WKQEY,BUY,315,118.97,USD,6.15
C100251,2025-08-22,WBG,SELL,-305,78.86,ILS,
C100573,2025-06-06,HYQTC,SELL,-267,373.6,EUR,
C100163,2025-06-05,DZI,BUY,114,81.77,GBP,
C100808,2025-07-02,VTZ,SELL,-20,147.99,USD,2.2
C100986,2025-06-04,PJUHG,SELL,-305,247.85,USD,6.53
C100880,2025-07-28,VYUH,BUY,3,332.42,GBP,
C100887,2025-08-05,NLZBM,SELL,-369,331.67,USD,4.46
C100406,2025-07-14,CJO,BUY,125,237.67,USD,5.36
C100584,2025-07-16,BADQB,BUY,43,170.22,ILS,
C100905,2025-06-23,IFZBF,BUY,18,337.82,GBP,
C100337,2025-07-14,JDBYO,SELL,-223,163.63,ILS,
C100223,2025-07-02,PVAU,BUY,34,316.6,EUR,
C100993,2025-08-13,YNZO,SELL,-408,344.09,GBP,
C100883,2025-08-27,DTP,BUY,397,327.73,GBP,
C100716,2025-07-28,OER,BUY,273,322.89,ILS,
C100486,2025-07-21,QZIUC,BUY,107,185.44,EUR,
C100371,2025-07-25,SFQ,SELL,-387,326.57,USD,7.23
C100660,2025-06-10,NLUC,BUY,431,204.92,EUR,
C100259,2025-07-25,NFOR,SELL,-208,98.11,GBP,
C100924,2025-07-14,MTWDE,BUY,470,259.01,ILS,
C100397,2025-07-16,mknxr,SELL,-271,141.43,GBP,
C100092,2025-07-24,OML,BUY,252,252.54,EUR,
C100880,2025-08-19,XVGQO,BUY,497,342.93,GBP,
C100900,2025-06-06,MTWDE,SELL,-32,63.05,GBP,
C100887,2025-08-25,BFG,SELL,-268,59.36,ILS,
C100948,2025-08-15,MLFM,SELL,-326,85.47,USD,7.32
C100844,2025-08-29,YHSK,SELL,-483,398.43,USD,9.61
C100360,2025-08-21,CFQZ,SELL,-443,391.11,USD,6.26
C100780,2025-08-19,GBP,BUY,3,120.13,EUR,
C100003,2025-07-25,EYU,BUY,443,162.28,GBP,
C100589,2025-06-30,WOO,BUY,157,302.31,EUR,
C100528,2025-08-13,GMYHH,BUY,318,248.0,GBP,
C100462,2025-07-17,QPESE,BUY,342,259.95,EUR,
C100703,2025-07-22,VCX,SELL,-261,278.62,EUR,
C100086,2025-07-03,HKNX,SELL,-441,107.15,ILS,
C100897,2025-06-04,YTBXO,BUY,20,81.19,USD,4.24
C100945,2025-06-17,EYERS,BUY,200,11.37,ILS,
C100203,2025-06-10,SXRVQ,BUY,64,292.99,ILS,
C100632,2025-06-27,USVXZ,SELL,-39,250.17,USD,4.69
C100981,2025-06-23,NRVIA,BUY,187,183.84,USD,3.73
C100735,2025-08-21,SPZRA,SELL,-362,88.94,ILS,
C100121,2025-07-04,NIEX,BUY,250,331.97,GBP,
C100294,2025-08-07,HRYDD,SELL,-182,132.97,EUR,
C100441,2025-07-09,RRJ,BUY,307,145.38,GBP,
C100744,2025-08-14,JBM,BUY,418,70.25,EUR,
C100418,2025-06-05,ZIQU,BUY,279,174.4,GBP,
C100999,2025-08-20,SXRVQ,BUY,60,387.89,EUR,
C100378,2025-06-16,UZXTV,SELL,-173,258.03,USD,5.04
C100480,2025-08-11,NOT,SELL,-409,340.71,EUR,
C100730,2025-07-16,YADL,SELL,-394,142.55,USD,4.2
C100097,2025-06-10,EYERS,BUY,130,93.18,GBP,
C100953,2025-08-04,XMDWL,SELL,-297,314.82,USD,4.99
C100005,2025-07-24,JRZ,SELL,-428,293.02,ILS,
C100687,2025-06-09,RMAH,BUY,28,145.45,EUR,
C100266,2025-07-31,OPUVG,SELL,-384,327.21,ILS,
C100135,2025-08-18,GJQJR,SELL,-87,301.44,EUR,
C100266,2025-06-09,HPZMD,SELL,-20,277.18,EUR,
C100511,2025-08-05,auitq,SELL,-50,316.41,ILS,
C100289,2025-07-17,CGR,SELL,-401,304.74,GBP,
C100446,2025-07-28,ANJ,BUY,160,274.57,ILS,
C100782,2025-08-19,KEFPW,BUY,188,176.64,USD,3.64
C100193,2025-07-11,SYZXC,BUY,437,111.32,EUR,
C100036,2025-06-30,MAQUS,SELL,-409,24.8,ILS,
C100446,2025-06-09,HPZMD,SELL,-233,10.9,ILS,
C100365,2025-08-21,DYD,SELL,-1,115.86,ILS,
C100115,2025-06-23,GSHRU,BUY,195,287.55,GBP,
C100095,2025-07-03,YIJUV,SELL,-284,362.88,EUR,
C100767,2025-07-09,ELK,SELL,-106,279.51,USD,5.86
C100538,2025-08-14,PLUGD,BUY,203,186.08,USD,4.42
C100252,2025-06-18,KVK,SELL,-124,94.65,GBP,
C100026,2025-08-11,UFU,BUY,45,200.36,GBP,
C100604,2025-07-29,CCD,BUY,209,354.28,EUR,
C100029,2025-08-26,BFG,SELL,-338,383.53,ILS,
C100643,2025-06-02,YENP,SELL,-67,44.36,GBP,
C100993,2025-07-29,IMD,SELL,-185,295.13,EUR,
C100216,2025-07-22,DGNK,BUY,116,46.63,GBP,
C100817,2025-08-07,XYKK,BUY,454,399.81,USD,8.9
C100408,2025-07-14,UJLJN,BUY,261,16.66,ILS,
C100091,2025-06-30,OOCZ,BUY,364,311.89,ILS,
C100798,2025-06-27,UCFR,SELL,-21,324.07,USD,1.36
C100305,2025-07-25,AKOAQ,SELL,-82,321.92,EUR,
C100367,2025-08-06,FRWQW,BUY,173,390.19,EUR,
C100501,2025-08-25,BHICN,SELL,-317,18.93,GBP,
C100576,2025-06-17,FFBQF,SELL,-347,279.85,ILS,
C100830,2025-08-18,NRVIA,BUY,429,232.88,ILS,
C100095,2025-08-22,GZUXF,SELL,-230,280.87,EUR,
C100663,2025-08-28,MZI,BUY,379,346.49,USD,6.76
C100297,2025-06-16,ANLR,SELL,-207,322.46,ILS,
C100307,2025-07-24,SYZXC,BUY,384,31.02,EUR,
C100535,2025-06-10,QZIZI,SELL,-357,334.78,USD,3.78
C100939,2025-09-01,ZIKTN,BUY,76,383.74,ILS,
C100422,2025-07-16,QPC,SELL,-217,358.92,GBP,
C100260,2025-08-29,HYRF,BUY,381,142.22,USD,5.41
C100116,2025-07-02,KZXVY,SELL,-295,55.48,EUR,
C100863,2025-06-16,BVCC,BUY,2,137.77,ILS,
C100897,2025-07-28,WLW,SELL,-100,393.41,ILS,
C100775,2025-07-17,RKUX,SELL,-78,237.91,GBP,
C100989,2025-07-09,WLN,BUY,7,258.02,EUR,
C100080,2025-06-19,HRYDD,SELL,-180,99.95,ILS,
C100547,2025-08-11,WRL,BUY,452,8.78,USD,5.7
C100013,2025-08-21,GBA,SELL,-207,136.15,ILS,
C100889,2025-07-24,cqoac,SELL,-70,49.02,GBP,
C100707,2025-07-24,YCYR,SELL,-224,296.63,USD,3.51
C100128,2025-07-04,AJLY,BUY,214,196.43,USD,6.07
C100835,2025-06-05,RKTA,BUY,439,87.12,EUR,
C100492,2025-07-14,QIZZ,BUY,404,279.04,ILS,
C100862,2025-06-17,VMN,BUY,183,267.41,GBP,
C100788,2025-08-25,IDX,BUY,331,323.51,ILS,
C100022,2025-06-27,HPZMD,BUY,352,73.54,ILS,
C100986,2025-06-04,LBGDH,SELL,-391,217.68,ILS,
C100599,2025-07-23,NBGWL,BUY,108,288.13,ILS,
C100052,2025-06-19,HLT,BUY,449,259.87,ILS,
C100425,2025-07-23,WASRN,SELL,-363,235.9,USD,6.31
C100499,2025-09-01,NMCB,SELL,-248,197.57,ILS,
C100237,2025-06-04,GMYHH,BUY,205,97.77,ILS,
C100590,2025-07-18,ZBNNZ,BUY,458,292.41,ILS,
C100910,2025-08-28,RDHG,BUY,262,355.01,GBP,
C100459,2025-06-04,BUJ,SELL,-361,337.27,EUR,
C100294,2025-08-25,QWO,BUY,253,153.7,GBP,
C100448,2025-07-31,GGD,BUY,131,271.69,ILS,
C100134,2025-08-08,REZ,SELL,-337,190.84,ILS,
C100853,2025-08-25,EZGC,SELL,-66,54.86,EUR,
C100636,2025-06-17,LVQP,SELL,-42,35.72,ILS,
C100132,2025-06-30,FVOPV,BUY,462,279.23,ILS,
C100103,2025-08-28,QIJWM,SELL,-137,82.51,GBP,
C100240,2025-06-04,ENGF,BUY,339,138.97,GBP,
C100902,2025-06-30,IULZ,SELL,-378,32.21,EUR,
C100847,2025-06-12,KHFTC,BUY,98,264.13,GBP,
C100440,2025-06-23,WKQEY,BUY,260,8.82,EUR,
C100498,2025-08-04,THP,SELL,-195,370.8,USD,3.07
C100788,2025-06-27,WKYOP,SELL,-307,96.11,USD,3.66
C100723,2025-08-21,JFG,SELL,-44,67.93,USD,3.12
C100998,2025-06-09,ZMGPF,BUY,221,311.75,USD,2.71
C100171,2025-07-08,ZGOJ,BUY,250,65.08,GBP,
C100160,2025-08-19,NIACK,SELL,-28,273.27,ILS,
C100750,2025-06-27,HKDYH,BUY,71,95.63,GBP,
C100342,2025-06-23,ZHZR,BUY,159,279.46,EUR,
C100449,2025-06-02,OBNT,SELL,-421,158.7,EUR,
C100854,2025-07-31,ISI,SELL,-154,29.05,GBP,
C100517,2025-07-18,GBA,BUY,336,89.96,GBP,
C100732,2025-08-05,BYWX,SELL,-129,71.49,EUR,
C100155,2025-07-11,VHFUP,SELL,-462,259.96,EUR,
C100821,2025-08-13,USVXZ,SELL,-107,353.16,ILS,
C100974,2025-06-05,KBJZN,SELL,-380,328.6,ILS,
C100149,2025-06-12,HJD,BUY,420,292.46,USD,4.22
C100346,2025-07-01,ZBNNZ,SELL,-230,318.08,ILS,
C100062,2025-06-27,BVCC,BUY,181,235.71,USD,5.28
C100646,2025-08-14,BTSV,SELL,-118,21.47,ILS,
C100907,2025-07-28,NCRE,SELL,-292,307.1,GBP,
C100008,2025-06-26,RDXN,SELL,-103,314.19,ILS,
C100456,2025-08-19,RBQI,BUY,329,140.94,GBP,
C100908,2025-07-07,MTWDE,SELL,-366,150.32,GBP,
C100086,2025-08-08,DMBKK,SELL,-97,109.63,EUR,
C100532,2025-07-09,wvaw,SELL,-491,142.26,USD,5.99
C100523,2025-07-31,NFOR,SELL,-433,5.44,EUR,
C100023,2025-07-14,FDD,SELL,-398,362.84,GBP,
C100743,2025-06-11,XEW,BUY,451,193.01,GBP,
C100265,2025-06-23,ZMKI,SELL,-436,293.6,USD,8.32
C100774,2025-08-20,MFZI,BUY,463,148.9,GBP,
C100586,2025-08-21,PUFCF,BUY,230,254.13,GBP,
C100241,2025-08-01,ZVW,BUY,129,190.61,GBP,
C100291,2025-08-07,YTR,BUY,165,364.41,EUR,
C100107,2025-08-05,fblso,BUY,210,132.08,ILS,
C100100,2025-08-13,BLHH,SELL,-399,389.65,USD,8.05
C100094,2025-06-24,TARPY,SELL,-447,383.72,ILS,
C100219,2025-08-06,BHICN,BUY,349,281.6,ILS,
C100602,2025-07-17,ZQME,SELL,-250,396.54,ILS,
C100651,2025-08-27,XEW,SELL,-35,299.31,ILS,
C100843,2025-08-29,RONV,BUY,360,208.34,EUR,
C100496,2025-06-24,UUE,SELL,-229,115.76,USD,4.7
C100711,2025-08-25,LEWLT,SELL,-422,368.77,USD,6.17
C100764,2025-06-23,PSBT,SELL,-258,138.17,ILS,
C100112,2025-07-23,PYO,SELL,-398,222.6,USD,8.09
C100535,2025-08-06,LCRVI,BUY,15,286.03,GBP,
C100383,2025-08-27,HZOM,SELL,-419,45.59,USD,7.53
C100810,2025-08-14,PVAU,BUY,274,177.57,USD,3.37
C100959,2025-07-22,ANJ,SELL,-208,343.83,EUR,
C100187,2025-06-02,ZHZR,SELL,-89,210.37,USD,4.36
C100560,2025-06-09,JKBBO,BUY,344,9.72,ILS,
C100492,2025-08-20,ROBIQ,SELL,-73,230.36,GBP,
C100800,2025-06-24,YTBXO,SELL,-211,251.79,EUR,
C100516,2025-08-20,PWETB,SELL,-242,109.67,ILS,
C100152,2025-06-17,DJRTW,SELL,-116,192.78,ILS,
C100396,2025-07-31,WMF,SELL,-446,324.76,USD,6.23
C100981,2025-07-21,RKUX,SELL,-173,297.98,USD,3.0
C100886,2025-07-25,UIKD,BUY,405,47.87,USD,4.36
C100659,2025-07-04,ZQME,BUY,75,118.88,USD,2.14
C100980,2025-08-25,DTBYQ,BUY,282,230.51,USD,7.75
C100123,2025-06-04,TTH,BUY,235,369.72,GBP,
C100805,2025-08-19,MURH,BUY,222,119.02,USD,3.75
C100826,2025-08-12,BSAI,SELL,-383,236.14,USD,4.57
C100503,2025-07-31,DGNK,BUY,46,115.8,ILS,
