Ticker,CompanyName,Exchange,Currency,Sector,Country
YAV,Quantum Quantum Corp,LSE,USD,Telecom,UK
NBGWL,Alpha Energy PLC,NASDAQ,EUR,Telecom,US
SOHH,Beta Tech PLC,FWB,EUR,Financials,US
OANHZ,Alpha Capital Ltd,TASE,USD,Healthcare,FR
KQV,Apex AI Corp,FWB,EUR,Technology,DE
PVRH,Omega Capital AG,TASE,USD,Industrial,DE
JRZ,Gamma Energy Inc,TASE,USD,Financials,UK
UJLJN,Alpha Systems Ltd,LSE,ILS,Utilities,IL
FKIJS,Omega AI Inc,TASE,USD,Healthcare,NL
THP,Omega Quantum Inc,FWB,USD,Healthcare,DE
IULZ,Quantum Media Corp,TASE,GBP,Industrial,FR
SXRVQ,Apex Tech Ltd,LSE,USD,Consumer,UK
JDF,Nimbus Capital AG,LSE,USD,Technology,UK
DGFQX,Gamma Energy Inc,FWB,USD,Healthcare,NL
CIM,Nimbus Pharma PLC,NYSE,ILS,Industrial,FR
RFF,Vertex Tech Inc,NYSE,USD,Industrial,IL
DZI,Alpha Brands Inc,TASE,ILS,Financials,FR
YNZO,Quantum Systems Ltd,NASDAQ,USD,Utilities,IL
RDCQB,Gamma Capital Inc,TASE,ILS,Consumer,FR
ATE,Vertex Logistics PLC,FWB,ILS,Technology,FR
XCKAF,Apex Brands Ltd,FWB,GBP,Telecom,US
RFC,Apex Energy Inc,FWB,ILS,Energy,UK
UFU,Nimbus Systems Inc,FWB,EUR,Utilities,FR
JAJTW,Vertex Tech PLC,FWB,GBP,Utilities,NL
ETUOT,Delta AI Inc,LSE,ILS,Financials,FR
LEE,Prime Pharma Ltd,NYSE,USD,Telecom,DE
NTVB,Omega Energy AG,FWB,EUR,Healthcare,UK
LXO,Beta AI Ltd,NASDAQ,EUR,Healthcare,DE
CYLG,Alpha Systems PLC,NASDAQ,EUR,Financials,UK
ROJT,Omega Quantum AG,NASDAQ,GBP,Industrial,DE
SUB,Nimbus Brands Ltd,NASDAQ,ILS,Healthcare,FR
JRRO,Apex Quantum Ltd,LSE,ILS,Consumer,FR
HZOM,Delta AI PLC,NASDAQ,USD,Technology,US
DFPC,Gamma Tech Ltd,FWB,USD,Utilities,NL
HHIOD,Alpha Brands Corp,TASE,EUR,Utilities,DE
TIHE,Apex Tech AG,NASDAQ,USD,Consumer,IL
HZRHO,Alpha Logistics AG,LSE,GBP,Telecom,US
FPIS,Beta Brands Corp,LSE,ILS,Healthcare,DE
ZBNNZ,Delta Logistics Ltd,NASDAQ,EUR,Utilities,DE
FJB,Alpha Capital AG,TASE,USD,Energy,US
ZYNVB,Beta Tech PLC,NASDAQ,GBP,Telecom,FR
GCAO,Vertex Logistics AG,LSE,GBP,Technology,DE
OYIT,Quantum Pharma Corp,NYSE,USD,Technology,FR
TZC,Beta AI PLC,FWB,ILS,Utilities,US
fblso,Prime Pharma Corp,LSE,USD,Financials,FR
GTYH,Nimbus Tech Ltd,NASDAQ,EUR,Telecom,UK
IUNJ,Gamma Brands AG,FWB,USD,Utilities,IL
HLT,Omega Systems Ltd,NASDAQ,GBP,Financials,DE
NXJSV,Apex Systems Ltd,NASDAQ,USD,Utilities,NL
IMG,Omega Brands Inc,NYSE,ILS,Energy,IL
FET,Delta Capital Corp,FWB,USD,Telecom,FR
WWJE,Beta Capital Inc,FWB,USD,Industrial,DE
BIBMX,Gamma Media Ltd,NYSE,ILS,Technology,FR
RZPY,Apex Logistics Inc,LSE,ILS,Utilities,UK
FBYB,Vertex Systems PLC,NASDAQ,GBP,Energy,US
JKBBO,Quantum Energy Ltd,TASE,ILS,Financials,DE
JLV,Omega Pharma Inc,NASDAQ,ILS,Financials,UK
GEL,Gamma Energy Corp,NASDAQ,ILS,Technology,UK
WDZKD,Alpha Brands AG,LSE,ILS,Consumer,DE
OUJ,Gamma Pharma PLC,NASDAQ,EUR,Utilities,FR
KOG,Apex Logistics Corp,NYSE,EUR,Telecom,NL
IVNSH,Alpha Energy AG,NYSE,GBP,Healthcare,UK
BWJZ,Gamma Tech Ltd,FWB,USD,Financials,IL
ECNQI,Quantum AI Corp,TASE,ILS,Telecom,UK
KUYA,Delta Pharma Ltd,NASDAQ,USD,Telecom,NL
NRVIA,Beta Capital Inc,NASDAQ,USD,Industrial,FR
RMAH,Alpha Tech PLC,LSE,GBP,Telecom,FR
RXQH,Gamma Brands Ltd,NYSE,ILS,Telecom,IL
PNM,Apex Pharma Corp,TASE,ILS,Industrial,UK
HED,Nimbus Energy Inc,FWB,USD,Financials,FR
YTBXO,Alpha Pharma PLC,NYSE,USD,Telecom,NL
USOZ,Quantum Capital Inc,FWB,USD,Consumer,DE
AFUX,Apex Pharma Inc,LSE,EUR,Consumer,US
YADL,Quantum Tech PLC,LSE,USD,Energy,US
TNCQV,Nimbus Logistics Ltd,NASDAQ,EUR,Industrial,US
SXB,Quantum Tech Ltd,TASE,EUR,Energy,UK
LMHK,Prime Capital AG,FWB,EUR,Industrial,IL
THX,Delta Capital AG,NYSE,GBP,Utilities,FR
BVCC,Omega Media PLC,LSE,GBP,Utilities,DE
SMGRA,Alpha Quantum Corp,NASDAQ,EUR,Telecom,NL
BHZY,Nimbus Brands AG,NASDAQ,USD,Healthcare,DE
NMCB,Quantum Logistics Corp,FWB,USD,Utilities,NL
EYU,Quantum Tech Inc,LSE,USD,Healthcare,UK
UCFR,Omega Logistics PLC,TASE,ILS,Utilities,US
IDD,Prime Brands Corp,LSE,GBP,Technology,UK
AJDX,Delta AI Inc,FWB,USD,Utilities,IL
JTOUV,Prime Systems Ltd,FWB,USD,Energy,IL
PNKI,Vertex Media AG,LSE,ILS,Financials,NL
QGC,Nimbus AI AG,FWB,ILS,Telecom,FR
HKNX,Prime Energy PLC,LSE,EUR,Energy,FR
EYCEP,Alpha Systems Corp,NYSE,GBP,Financials,NL
MVXJK,Delta Tech AG,LSE,GBP,Consumer,IL
CFQZ,Alpha Media Corp,LSE,USD,Energy,IL
XEW,Apex Quantum PLC,FWB,EUR,Consumer,IL
BWBA,Gamma Pharma PLC,FWB,EUR,Healthcare,UK
QZIZI,Delta Energy Corp,NASDAQ,EUR,Healthcare,IL
USVXZ,Alpha Brands Corp,NASDAQ,EUR,Technology,DE
URQYJ,Prime Systems PLC,NYSE,GBP,Utilities,US
NGDLP,Gamma Brands Corp,NASDAQ,GBP,Energy,IL
FLAI,Apex Systems Corp,LSE,EUR,Consumer,NL
HYQTC,Alpha Systems Corp,FWB,USD,Financials,US
ITMNM,Nimbus Capital Corp,NASDAQ,USD,Healthcare,UK
VKB,Delta Media Corp,NASDAQ,USD,Utilities,NL
SNZBL,Omega Capital Ltd,NYSE,USD,Healthcare,US
NWWHU,Alpha Pharma Inc,NYSE,EUR,Financials,NL
BHICN,Delta Quantum PLC,LSE,GBP,Utilities,UK
XEAK,Alpha AI Ltd,FWB,USD,Utilities,DE
PFCH,Alpha Systems Corp,NYSE,ILS,Consumer,UK
ZUQD,Delta Capital AG,NASDAQ,ILS,Consumer,UK
OGJGR,Gamma Systems Inc,FWB,USD,Energy,NL
TNT,Alpha Capital Corp,FWB,EUR,Energy,FR
QRS,Gamma Pharma Corp,NASDAQ,USD,Industrial,IL
LSCOB,Apex Pharma AG,NYSE,EUR,Telecom,IL
KEJT,Prime Quantum Inc,NASDAQ,USD,Industrial,DE
IDX,Apex Energy AG,FWB,USD,Technology,DE
QYXRA,Gamma Capital Ltd,TASE,USD,Healthcare,IL
ANLR,Quantum Systems PLC,TASE,ILS,Energy,FR
MAQUS,Vertex Quantum AG,LSE,EUR,Consumer,IL
VQU,Delta Quantum PLC,NASDAQ,ILS,Financials,FR
RDHG,Prime Energy AG,NASDAQ,EUR,Consumer,DE
SFQ,Gamma Capital Inc,LSE,ILS,Healthcare,US
QPESE,Nimbus Logistics Corp,LSE,GBP,Industrial,NL
ZGJ,Alpha Capital Corp,LSE,GBP,Consumer,DE
mslhs,Apex Quantum PLC,FWB,GBP,Telecom,DE
MQH,Nimbus Pharma Ltd,NASDAQ,GBP,Technology,UK
LBGDH,Gamma Systems Inc,FWB,USD,Healthcare,UK
aqhw,Delta Systems AG,LSE,GBP,Industrial,UK
NEJHK,,NASDAQ,USD,Telecom,NL
AKOAQ,Quantum Tech AG,FWB,USD,Financials,UK
QVSL,Delta Brands Inc,FWB,USD,Industrial,FR
EMWB,Apex Energy Inc,LSE,GBP,Utilities,IL
AWOK,Alpha Tech Ltd,NASDAQ,GBP,Telecom,US
HOO,Quantum Logistics PLC,LSE,GBP,Telecom,DE
XFNEW,Prime Media Ltd,NASDAQ,ILS,Technology,FR
IQUI,Apex AI Ltd,TASE,EUR,Healthcare,US
QEZLX,Beta Media Corp,NYSE,ILS,Financials,FR
LSI,Delta Capital Ltd,NYSE,EUR,Technology,FR
ELK,Beta Tech AG,NYSE,GBP,Industrial,DE
PAG,Alpha Systems AG,LSE,GBP,Technology,IL
UGD,Beta Pharma AG,TASE,ILS,Telecom,UK
ITQ,Gamma Logistics PLC,NASDAQ,ILS,Healthcare,NL
LJPL,Beta AI Inc,FWB,EUR,Energy,IL
MUSKV,Apex Quantum Corp,NASDAQ,USD,Technology,NL
BQQBS,Quantum Tech Ltd,FWB,EUR,Utilities,DE
LRJLC,Gamma Quantum Ltd,NASDAQ,ILS,Technology,DE
UAOYK,Gamma Tech Inc,TASE,ILS,Industrial,DE
SPZRA,Apex Brands PLC,FWB,USD,Industrial,US
NOI,Prime AI Corp,LSE,ILS,Financials,NL
UZW,Omega Energy AG,NASDAQ,USD,Industrial,IL
WIS,Delta Pharma Inc,NASDAQ,USD,Consumer,IL
BSAI,Prime Quantum Corp,FWB,EUR,Healthcare,FR
HZZ,Quantum Capital Inc,LSE,EUR,Healthcare,FR
VRZ,Apex Tech Ltd,LSE,USD,Energy,FR
wvaw,Beta Energy Corp,TASE,EUR,Energy,DE
YZMHJ,Quantum Brands Inc,LSE,ILS,Healthcare,IL
HUMGL,Alpha Brands PLC,LSE,GBP,Utilities,NL
LCSL,Omega Pharma Ltd,LSE,USD,Energy,DE
LDV,Beta Energy Ltd,NYSE,EUR,Financials,US
QQM,Quantum Media AG,TASE,USD,Industrial,FR
NFOR,Beta AI Ltd,NASDAQ,USD,Healthcare,DE
AOC,Gamma Systems Ltd,FWB,GBP,Telecom,DE
CWPU,Apex Capital Ltd,NASDAQ,ILS,Energy,US
EYERS,Alpha Energy Ltd,TASE,USD,Healthcare,UK
ZQME,Quantum Energy PLC,FWB,EUR,Consumer,IL
RFJMR,Omega Quantum Inc,TASE,USD,Technology,NL
LHAUQ,Gamma Pharma Inc,LSE,USD,Industrial,UK
ZUUP,Apex AI Ltd,FWB,USD,Healthcare,FR
ONCC,Nimbus Brands Corp,LSE,GBP,Technology,DE
DTBYQ,Alpha Logistics Corp,NASDAQ,ILS,Energy,US
HLSEL,Prime AI Ltd,NASDAQ,USD,Technology,US
ROBIQ,Nimbus Brands Ltd,FWB,EUR,Industrial,IL
LNURY,Omega Pharma Ltd,FWB,USD,Healthcare,UK
KOGMS,Alpha AI Corp,TASE,EUR,Consumer,IL
ETWH,Vertex Quantum Corp,TASE,ILS,Utilities,DE
JJH,Gamma Pharma Ltd,LSE,EUR,Energy,IL
UZXTV,Gamma Capital PLC,FWB,GBP,Healthcare,NL
HYRF,Delta Capital Inc,NASDAQ,GBP,Industrial,US
IYBWC,Prime Pharma Ltd,TASE,GBP,Energy,US
DTP,Delta Capital Corp,TASE,GBP,Financials,FR
JYUH,Omega Systems Inc,NASDAQ,USD,Technology,FR
VCX,Beta Logistics Corp,TASE,ILS,Utilities,DE
PTCVZ,Prime AI AG,LSE,EUR,Industrial,NL
BVB,Omega AI Ltd,FWB,EUR,Financials,UK
CTG,Alpha Quantum Corp,NASDAQ,GBP,Telecom,IL
FFBQF,Vertex Logistics Inc,FWB,GBP,Healthcare,DE
VQPD,Prime Capital PLC,TASE,USD,Consumer,FR
QUBR,Nimbus Quantum Corp,TASE,ILS,Energy,IL
BWX,Beta Pharma Corp,NASDAQ,USD,Technology,FR
TSK,Beta Energy Corp,LSE,EUR,Energy,IL
EKJCY,Apex Logistics AG,NYSE,USD,Utilities,UK
XFXRO,Prime Media Corp,NASDAQ,USD,Healthcare,DE
MKO,Nimbus Media Inc,NYSE,EUR,Energy,IL
FDNTE,Gamma Energy Ltd,NYSE,USD,Technology,NL
TPAF,Gamma Quantum Corp,LSE,USD,Healthcare,US
TIBOV,Prime Tech Ltd,NYSE,USD,Energy,NL
XKFZ,Apex Brands Inc,NYSE,ILS,Consumer,NL
GERAA,Quantum Energy AG,LSE,USD,Industrial,US
VMN,Alpha Systems AG,NYSE,USD,Healthcare,NL
ZMKI,Omega Energy Ltd,NYSE,USD,Industrial,IL
ZGOJ,Beta Brands PLC,NYSE,EUR,Telecom,IL
EBA,Omega Media AG,NASDAQ,GBP,Healthcare,IL
AZSVP,Omega Logistics Corp,NASDAQ,USD,Consumer,US
PWETB,Beta Brands Ltd,NASDAQ,ILS,Industrial,NL
JGH,Delta Logistics Ltd,LSE,EUR,Financials,US
OTEN,Vertex Systems Inc,TASE,USD,Technology,IL
YWG,Vertex Capital Inc,NYSE,EUR,Financials,NL
RBQI,Omega AI Ltd,NYSE,USD,Energy,NL
REK,Gamma AI Corp,LSE,USD,Consumer,FR
FZETA,Alpha Capital PLC,NYSE,GBP,Financials,FR
QIZZ,Delta Tech PLC,NASDAQ,EUR,Healthcare,UK
MFZI,Alpha Media Inc,TASE,USD,Energy,DE
ZQKZJ,Apex Brands AG,FWB,ILS,Energy,FR
ZDZW,Apex Media Corp,NYSE,USD,Financials,US
cqoac,Prime Pharma Inc,NASDAQ,EUR,Telecom,FR
TTH,Delta Systems Ltd,FWB,EUR,Financials,UK
IZQLN,Nimbus Media PLC,TASE,GBP,Telecom,NL
QVBU,Quantum Quantum Corp,FWB,GBP,Consumer,UK
FRWQW,Apex Systems PLC,NASDAQ,ILS,Technology,NL
YTR,Omega Pharma AG,FWB,ILS,Financials,NL
LDXCH,Alpha Logistics Inc,LSE,USD,Utilities,DE
RKUX,Gamma Quantum PLC,FWB,USD,Telecom,FR
YCYR,Delta Brands PLC,NYSE,ILS,Financials,US
QXMO,Omega Logistics Corp,NYSE,ILS,Industrial,US
JBM,Alpha Tech Ltd,LSE,USD,Healthcare,IL
PBBUP,Gamma Capital Corp,NASDAQ,GBP,Utilities,NL
NCRE,Alpha Brands AG,NYSE,USD,Utilities,US
QZIUC,Nimbus Energy AG,TASE,GBP,Telecom,DE
JYS,Prime Logistics AG,NYSE,GBP,Industrial,NL
MZI,Quantum Energy PLC,NYSE,ILS,Industrial,DE
ADWZ,Quantum Energy Corp,NASDAQ,USD,Energy,US
GGOC,Nimbus Logistics Corp,FWB,EUR,Telecom,US
KREEP,Beta Tech Corp,NYSE,USD,Technology,IL
AQO,Apex AI Corp,LSE,USD,Healthcare,US
CPIKH,Nimbus Energy AG,FWB,GBP,Consumer,NL
BUJ,Beta Media Inc,TASE,USD,Utilities,NL
NTUX,Apex Energy AG,NASDAQ,USD,Consumer,NL
MYA,Omega Energy AG,TASE,GBP,Financials,IL
WLW,Delta Capital Corp,FWB,USD,Financials,IL
AJOLB,Delta Tech Corp,FWB,EUR,Consumer,US
VTRPU,Prime Systems PLC,FWB,GBP,Financials,UK
DYD,Alpha Media AG,TASE,EUR,Technology,UK
UUE,Omega Logistics Ltd,FWB,GBP,Industrial,IL
GMYHH,Prime Tech Corp,TASE,ILS,Financials,US
SLRY,Nimbus Brands AG,FWB,USD,Energy,UK
GZJA,Delta AI Ltd,LSE,ILS,Financials,US
SSNOZ,Apex AI AG,FWB,EUR,Healthcare,US
PJUHG,Gamma AI PLC,TASE,USD,Technology,US
UIHUJ,Omega Pharma Ltd,NYSE,GBP,Healthcare,FR
QWO,Gamma Energy Corp,FWB,USD,Healthcare,NL
NIACK,Gamma Systems Inc,NYSE,USD,Energy,US
NSL,Delta Systems PLC,LSE,USD,Technology,FR
KKHDK,Omega Logistics AG,NASDAQ,USD,Technology,IL
XEPQ,Apex Energy Corp,LSE,USD,Telecom,UK
BADQB,Omega Media Inc,FWB,USD,Technology,NL
PUFCF,Quantum Tech Corp,NYSE,EUR,Technology,UK
EMF,Nimbus Quantum Inc,NYSE,ILS,Technology,NL
KZXVY,Quantum Brands Corp,TASE,GBP,Energy,UK
NGXB,Beta Logistics Corp,NYSE,USD,Financials,NL
REWAF,Omega Logistics Inc,TASE,ILS,Telecom,UK
HRYDD,Gamma Capital PLC,NASDAQ,GBP,Healthcare,UK
XREL,Apex Logistics Corp,FWB,GBP,Technology,UK
ORWR,Quantum Capital AG,TASE,USD,Utilities,UK
VHFUP,Gamma Pharma Ltd,NASDAQ,EUR,Financials,IL
BYWX,Apex Capital AG,NYSE,EUR,Financials,US
CQBSZ,Alpha Tech Ltd,NYSE,ILS,Healthcare,DE
DTOT,Omega Brands PLC,NASDAQ,EUR,Energy,FR
RKVOC,Nimbus Capital Ltd,NYSE,USD,Consumer,DE
PQK,Beta Capital Corp,NASDAQ,EUR,Consumer,DE
FUBQ,Prime Logistics Ltd,TASE,ILS,Financials,NL
PLUGD,Prime Media Ltd,TASE,EUR,Industrial,US
KVK,Alpha Tech Corp,NASDAQ,USD,Industrial,NL
HJD,Delta Systems Inc,TASE,USD,Healthcare,US
HQPT,Apex AI PLC,TASE,ILS,Consumer,US
FIWZH,Alpha Tech PLC,TASE,USD,Financials,UK
NQQXU,Delta Systems AG,LSE,USD,Energy,IL
ltgw,Gamma Pharma Ltd,FWB,USD,Consumer,UK
NDFD,Vertex Quantum AG,NYSE,GBP,Financials,IL
ZNK,Gamma Pharma Inc,LSE,GBP,Financials,NL
LBDKO,Omega Energy Ltd,TASE,USD,Technology,IL
LKM,Vertex Quantum Corp,NASDAQ,ILS,Energy,NL
IHYA,Apex Logistics PLC,TASE,USD,Technology,DE
EZEH,Apex Media AG,FWB,USD,Healthcare,DE
ZIQU,Delta Capital Ltd,TASE,EUR,Technology,IL
QIJWM,Alpha Brands PLC,NASDAQ,ILS,Utilities,IL
HRM,Gamma Brands Inc,FWB,GBP,Technology,NL
WBG,Nimbus AI PLC,TASE,USD,Utilities,UK
LPNIP,Beta Systems Inc,FWB,EUR,Consumer,NL
CROZ,Prime Energy Corp,NYSE,USD,Industrial,UK
VTZ,Nimbus Tech Corp,NYSE,GBP,Telecom,DE
ZVW,Alpha Pharma Inc,TASE,GBP,Telecom,US
IYFI,Alpha Pharma Ltd,FWB,USD,Financials,IL
ISI,Quantum Logistics Inc,NASDAQ,USD,Telecom,UK
MTWDE,Vertex Energy Ltd,TASE,ILS,Utilities,NL
QKP,Gamma Brands Inc,NYSE,GBP,Energy,DE
JVWF,Omega Logistics Inc,NYSE,USD,Technology,UK
CTGDC,Vertex Energy Corp,TASE,ILS,Utilities,NL
ZHZR,Nimbus Capital Ltd,FWB,USD,Energy,IL
QBZ,Beta AI Corp,NYSE,GBP,Industrial,IL
QSC,Beta Energy Inc,FWB,ILS,Telecom,FR
SHAYC,Beta Media PLC,NYSE,ILS,Industrial,US
RDXN,Nimbus Brands AG,NYSE,ILS,Telecom,FR
BZP,Vertex Brands AG,LSE,GBP,Technology,DE
GMC,Prime Energy PLC,NYSE,GBP,Healthcare,UK
JDBYO,Alpha AI Ltd,NASDAQ,EUR,Technology,DE
RDVYC,Delta Media AG,TASE,USD,Consumer,NL
LKLY,Delta Tech Inc,TASE,USD,Utilities,IL
DBY,Beta Pharma Corp,FWB,ILS,Financials,FR
MLFM,Quantum Capital Inc,NYSE,EUR,Healthcare,FR
GDF,Vertex Pharma Inc,NASDAQ,USD,Technology,FR
LVV,Omega Brands Ltd,FWB,EUR,Energy,DE
GSHRU,Omega Energy Ltd,LSE,GBP,Healthcare,IL
WASRN,Alpha Pharma PLC,FWB,ILS,Utilities,UK
QHKZE,Alpha Energy AG,FWB,USD,Telecom,NL
KBJZN,Apex Logistics Inc,NYSE,USD,Healthcare,UK
